posFile,posFileTest,posFileTestNew,stimFile,stimFileNew,cs_neg_s,cs_pos_s,cs_neg_ns,cs_pos_ns,cs_neg_s_new,cs_pos_s_new,cs_neg_ns_new,cs_pos_ns_new,stim,position,position1,stim1,position2,stim2,position3,stim3,position4,stim4,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,search_task_trials.thisRepN,search_task_trials.thisTrialN,search_task_trials.thisN,search_task_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,testtrials_novelty.thisRepN,testtrials_novelty.thisTrialN,testtrials_novelty.thisN,testtrials_novelty.thisIndex,loop_test_novelty.thisRepN,loop_test_novelty.thisTrialN,loop_test_novelty.thisN,loop_test_novelty.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartSearch.started,target_positions,distractor_positions,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,textTestInstr.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,test_roi1.numLooks,test_roi1.timesOn,test_roi1.timesOff,test_roi2.numLooks,test_roi2.timesOn,test_roi2.timesOff,test_roi3.numLooks,test_roi3.timesOn,test_roi3.timesOff,test_roi4.numLooks,test_roi4.timesOn,test_roi4.timesOff,test_image_feedback1.started,test_image_feedback2.started,test_iamge_feedback3.started,test_iamge_feedback4.started,participant,group,date,expName,psychopyVersion,frameRate,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_neg_ns,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.166673599742353,104.85610509989783,114.64080379996449,6.0,11.644557199906558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,D,2024-04-08_14h25.55.623,attentional_competition_task,2022.2.4,143.9712753028426,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_neg_s,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.99448839994147,4.0,4.076510600280017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,D,2024-04-08_14h25.55.623,attentional_competition_task,2022.2.4,143.9712753028426,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_pos_ns,,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.48039969988167,6.0,2.2437485000118613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,D,2024-04-08_14h25.55.623,attentional_competition_task,2022.2.4,143.9712753028426,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_pos_s,,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.95252729998901,3.0,1.654750400222838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,D,2024-04-08_14h25.55.623,attentional_competition_task,2022.2.4,143.9712753028426,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.8274288997054,"[[-0.45, 0.7], [-0.45, 0.19999999999999996], [-0.675, 0.19999999999999996], [0.0, -0.30000000000000004], [-0.675, -0.8], [0.9, 0.19999999999999996], [0.22499999999999998, -0.30000000000000004], [0.22499999999999998, -0.8], [-0.45, -0.8], [0.9, -0.30000000000000004], [-0.45, -0.30000000000000004], [-0.9, -0.30000000000000004], [0.45000000000000007, -0.8], [-0.22499999999999998, -0.30000000000000004], [0.45000000000000007, 0.19999999999999996]]","[[-0.9, -0.8], [0.45000000000000007, 0.7], [0.6749999999999999, -0.30000000000000004], [0.6749999999999999, 0.19999999999999996], [0.0, 0.7], [0.22499999999999998, 0.19999999999999996], [0.22499999999999998, 0.7], [-0.9, 0.19999999999999996], [-0.22499999999999998, 0.19999999999999996], [0.0, 0.19999999999999996], [0.6749999999999999, 0.7], [-0.9, 0.7], [0.0, -0.8], [-0.675, -0.30000000000000004], [-0.22499999999999998, -0.8]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,D,2024-04-08_14h25.55.623,attentional_competition_task,2022.2.4,143.9712753028426,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,,,,,,,,,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[0.6749999999999999, 0.19999999999999996], [-0.45, 0.7], [-0.675, -0.30000000000000004], [0.22499999999999998, 0.19999999999999996], [0.45000000000000007, 0.7], [0.6749999999999999, 0.7], [-0.675, -0.8], [0.9, 0.7], [0.45000000000000007, -0.8], [-0.675, 0.7], [0.22499999999999998, -0.8], [-0.45, -0.30000000000000004], [-0.9, -0.8], [-0.45, 0.19999999999999996], [0.45000000000000007, -0.30000000000000004]]","[[0.6749999999999999, -0.30000000000000004], [-0.22499999999999998, -0.8], [0.22499999999999998, 0.7], [-0.675, 0.19999999999999996], [0.22499999999999998, -0.30000000000000004], [-0.9, 0.19999999999999996], [0.0, 0.7], [0.9, -0.8], [0.9, 0.19999999999999996], [-0.22499999999999998, 0.19999999999999996], [0.45000000000000007, 0.19999999999999996], [0.6749999999999999, -0.8], [0.0, -0.30000000000000004], [-0.9, -0.30000000000000004], [-0.45, -0.8]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,D,2024-04-08_14h25.55.623,attentional_competition_task,2022.2.4,143.9712753028426,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_neg_s,"(-0.7, -0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.69227769970894,232.74714089976624,-3,loss,1,0.18812490021809936,0.18812850024551153,232.9485334996134,,,,,,,,,,,,,,,,,,,,,,4,D,2024-04-08_14h25.55.623,attentional_competition_task,2022.2.4,143.9712753028426,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_pos_ns,"(0.7, -0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.6010221997276,0,reward,1,0.1804538001306355,0.18045749980956316,239.79552249982953,,,,,,,,,,,,,,,,,,,,,,4,D,2024-04-08_14h25.55.623,attentional_competition_task,2022.2.4,143.9712753028426,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_pos_s,"(-0.7, -0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.2952053998597,3,reward,1,0.5139085999689996,0.5139121999964118,247.81598409963772,,,,,,,,,,,,,,,,,,,,,,4,D,2024-04-08_14h25.55.623,attentional_competition_task,2022.2.4,143.9712753028426,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_pos_s,"(0.7, 0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.45457579987124,6,reward,1,0.3613120000809431,0.36131570022553205,255.82264689961448,,,,,,,,,,,,,,,,,,,,,,4,D,2024-04-08_14h25.55.623,attentional_competition_task,2022.2.4,143.9712753028426,
