posFile,posFileTest,posFileTestNew,stimFile,stimFileNew,cs_neg_s,cs_pos_s,cs_neg_ns,cs_pos_ns,cs_neg_s_new,cs_pos_s_new,cs_neg_ns_new,cs_pos_ns_new,stim,position,position1,stim1,position2,stim2,position3,stim3,position4,stim4,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,search_task_trials.thisRepN,search_task_trials.thisTrialN,search_task_trials.thisN,search_task_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,testtrials_novelty.thisRepN,testtrials_novelty.thisTrialN,testtrials_novelty.thisN,testtrials_novelty.thisIndex,loop_test_novelty.thisRepN,loop_test_novelty.thisTrialN,loop_test_novelty.thisN,loop_test_novelty.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartSearch.started,target_positions,distractor_positions,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,textTestInstr.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,test_roi1.numLooks,test_roi1.timesOn,test_roi1.timesOff,test_roi2.numLooks,test_roi2.timesOn,test_roi2.timesOff,test_roi3.numLooks,test_roi3.timesOn,test_roi3.timesOff,test_roi4.numLooks,test_roi4.timesOn,test_roi4.timesOff,test_image_feedback1.started,test_image_feedback2.started,test_iamge_feedback3.started,test_iamge_feedback4.started,participant,group,date,expName,psychopyVersion,frameRate,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,cs_neg_s,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.784343500155956,91.94678280036896,127.59107930026948,5.0,23.154268600046635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,2024-04-02_12h49.22.299,attentional_competition_task,2022.2.4,143.9783226464065,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,cs_pos_s,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.40250280033797,3.0,5.757948400452733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,2024-04-02_12h49.22.299,attentional_competition_task,2022.2.4,143.9783226464065,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,cs_pos_ns,,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.49949280032888,6.0,12.170471599791199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,2024-04-02_12h49.22.299,attentional_competition_task,2022.2.4,143.9783226464065,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,cs_neg_ns,,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.36005230015144,7.0,14.524949800223112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,2024-04-02_12h49.22.299,attentional_competition_task,2022.2.4,143.9783226464065,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.9288133000955,"[[-0.22499999999999998, -0.30000000000000004], [0.45000000000000007, -0.8], [0.45000000000000007, 0.7], [-0.675, 0.19999999999999996], [-0.45, 0.7], [-0.45, -0.8], [0.22499999999999998, 0.7], [0.0, -0.8], [-0.22499999999999998, -0.8], [-0.9, -0.8], [0.45000000000000007, 0.19999999999999996], [0.22499999999999998, -0.8], [0.0, 0.7], [-0.675, 0.7], [0.45000000000000007, -0.30000000000000004]]","[[-0.675, -0.30000000000000004], [0.22499999999999998, 0.19999999999999996], [0.9, 0.19999999999999996], [0.22499999999999998, -0.30000000000000004], [-0.22499999999999998, 0.7], [-0.45, -0.30000000000000004], [-0.45, 0.19999999999999996], [-0.22499999999999998, 0.19999999999999996], [0.0, -0.30000000000000004], [-0.9, 0.7], [0.9, 0.7], [0.9, -0.8], [0.6749999999999999, 0.7], [-0.9, 0.19999999999999996], [0.6749999999999999, -0.8]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,2024-04-02_12h49.22.299,attentional_competition_task,2022.2.4,143.9783226464065,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,,,,,,,,,,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[-0.45, -0.30000000000000004], [0.9, 0.19999999999999996], [0.45000000000000007, 0.19999999999999996], [-0.22499999999999998, -0.8], [0.9, -0.30000000000000004], [0.22499999999999998, -0.30000000000000004], [0.45000000000000007, -0.30000000000000004], [0.0, 0.19999999999999996], [0.22499999999999998, 0.19999999999999996], [-0.9, 0.7], [0.0, -0.8], [-0.675, 0.7], [-0.675, 0.19999999999999996], [0.6749999999999999, -0.8], [-0.22499999999999998, 0.19999999999999996]]","[[0.45000000000000007, 0.7], [0.45000000000000007, -0.8], [0.9, 0.7], [0.6749999999999999, 0.7], [0.0, -0.30000000000000004], [-0.675, -0.30000000000000004], [-0.9, 0.19999999999999996], [0.6749999999999999, -0.30000000000000004], [0.0, 0.7], [0.6749999999999999, 0.19999999999999996], [0.9, -0.8], [-0.22499999999999998, 0.7], [-0.45, 0.7], [0.22499999999999998, 0.7], [-0.9, -0.30000000000000004]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,2024-04-02_12h49.22.299,attentional_competition_task,2022.2.4,143.9783226464065,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,cs_pos_ns,"(-0.7, 0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.7169948001392,313.22236709995195,3,reward,1,0.2434892002493143,0.2504293001256883,313.49320570006967,,,,,,,,,,,,,,,,,,,,,,1,A,2024-04-02_12h49.22.299,attentional_competition_task,2022.2.4,143.9783226464065,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,cs_neg_s,"(0.7, 0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.65956389997154,0,loss,1,0.513950000051409,0.5139540997333825,321.19430010020733,,,,,,,,,,,,,,,,,,,,,,1,A,2024-04-02_12h49.22.299,attentional_competition_task,2022.2.4,143.9783226464065,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,cs_pos_ns,"(0.7, -0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.0412098001689,3,reward,1,0.5833270000293851,0.5833311001770198,328.6315314001404,,,,,,,,,,,,,,,,,,,,,,1,A,2024-04-02_12h49.22.299,attentional_competition_task,2022.2.4,143.9783226464065,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,cs_pos_s,"(0.7, -0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.2075670999475,6,reward,1,0.6253907000645995,0.6253941999748349,336.8395072002895,,,,,,,,,,,,,,,,,,,,,,1,A,2024-04-02_12h49.22.299,attentional_competition_task,2022.2.4,143.9783226464065,
