posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.475917399977334,None,None,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.947577300015837,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.458754500024952,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.12269940006081,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.8696384000359103,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.6221836999757215,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.183425100054592,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.6270942999981344,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.673856499954127,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.2204753000987694,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.310417799977586,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.521087900036946,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.9235163999255747,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.4143020999617875,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
,,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.924756799940951,,,,,,,,,,,,,,,,,,,,34,B,2023-12-15_16h33.04.626,gca_avoidance_task,2022.2.4,144.04717839596768,
