posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.384439899935387,None,None,,,,,,,,,,,,,,,,,,,,24,A,2023-12-13_16h00.52.951,gca_avoidance_task,2022.2.4,143.99324973279747,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21.648323399946094,,,,,,,,,,,,,,,,,,,,24,A,2023-12-13_16h00.52.951,gca_avoidance_task,2022.2.4,143.99324973279747,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.2984837000258267,,,,,,,,,,,,,,,,,,,,24,A,2023-12-13_16h00.52.951,gca_avoidance_task,2022.2.4,143.99324973279747,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.2709751999937,,,,,,,,,,,,,,,,,,,,24,A,2023-12-13_16h00.52.951,gca_avoidance_task,2022.2.4,143.99324973279747,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.45538449997548,,,,,,,,,,,,,,,,,,,,24,A,2023-12-13_16h00.52.951,gca_avoidance_task,2022.2.4,143.99324973279747,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5284601000603288,,,,,,,,,,,,,,,,,,,,24,A,2023-12-13_16h00.52.951,gca_avoidance_task,2022.2.4,143.99324973279747,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.3121028000023216,,,,,,,,,,,,,,,,,,,,24,A,2023-12-13_16h00.52.951,gca_avoidance_task,2022.2.4,143.99324973279747,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.1516370000317693,,,,,,,,,,,,,,,,,,,,24,A,2023-12-13_16h00.52.951,gca_avoidance_task,2022.2.4,143.99324973279747,
,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.024523599888198,,,,,,,,,,,,,,,,,,,,24,A,2023-12-13_16h00.52.951,gca_avoidance_task,2022.2.4,143.99324973279747,
,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.974911500001326,,,,,,,,,,,,,,,,,,,,24,A,2023-12-13_16h00.52.951,gca_avoidance_task,2022.2.4,143.99324973279747,
