posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,spaceStart.started,spaceStart.keys,spaceStart.rt,textPainThreshold.started,spacePainThreshold.started,spacePainThreshold.keys,spacePainThreshold.rt,textRateT.started,text_noPainT.started,text_slightPainT.started,text_highPainT.started,sliderPainT.started,keys_PainT.started,sliderPainT.response,sliderPainT.rt,keys_PainT.keys,keys_PainT.rt,fixcrossT.started,portShock1T.started,portShock1T.stopped,portShock2T.started,portShock2T.stopped,portShock3T.started,portShock3T.stopped,fixcrossT.stopped,text_ETCalibration.started,spaceETCalibration.started,spaceETCalibration.keys,spaceETCalibration.rt,textStartExp.started,spaceStartExp.started,spaceStartExp.keys,spaceStartExp.rt,imageRating.started,sliderStim.started,spaceStim.started,sliderStim.response,sliderStim.rt,spaceStim.keys,spaceStim.rt,textStartTask.started,spaceStartTask.started,spaceStartTask.keys,spaceStartTask.rt,blankScreen.started,blankScreen.stopped,fixcross.started,image.started,roi.started,gazeCursor.started,portImage.started,portImage.stopped,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,gazeCursor_Feedback.started,soundFeedback.started,portShock1.started,portShock1.stopped,portShock2.started,portShock2.stopped,portShock3.started,portShock3.stopped,soundFeedback.stopped,fixcrossE.started,fixcrossE.stopped,textRepeatTask.started,textboxRepeatInstruction.started,textRepeatSpace.started,spaceRepeatTask.started,spaceRepeatTask.keys,spaceRepeatTask.rt,textRate.started,text_noPain.started,text_slightPain.started,text_highPain.started,sliderPain.started,textSpacePain.started,spacePain.started,sliderPain.response,sliderPain.rt,spacePain.keys,spacePain.rt,textTestInstr.started,spaceTestInstr.started,spaceTestInstr.keys,spaceTestInstr.rt,imageTest.started,roiTest.started,portTestImage.started,portTestImage.stopped,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.54746100003831,23.54746100003831,space,740.4038543000352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,D,2023-12-12_15h44.26.704,gca_avoidance_task,2022.2.4,143.84577441283983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.9624817000004,763.9624817000004,space,17.141328700003214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,D,2023-12-12_15h44.26.704,gca_avoidance_task,2022.2.4,143.84577441283983,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.267316500016,782.267316500016,782.267316500016,782.267316500016,782.267316500016,782.267316500016,None,None,s,15.04474109999137,797.9680976000382,0.10572659998433664,0.11263190000317991,0.15435169998090714,0.16131830000085756,0.20290530001511797,0.20990930002881214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,D,2023-12-12_15h44.26.704,gca_avoidance_task,2022.2.4,143.84577441283983,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.8013950000168,798.8013950000168,798.8013950000168,798.8013950000168,798.8013950000168,798.8013950000168,0.0,11.191075899987482,s,15.909879699989688,815.2174262000481,0.10007129999576136,0.1070297000114806,0.15565699996659532,0.16259249998256564,0.2042183000012301,0.2111554999719374,815.9673645000439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,D,2023-12-12_15h44.26.704,gca_avoidance_task,2022.2.4,143.84577441283983,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.9673645000439,815.9673645000439,815.9673645000439,815.9673645000439,815.9673645000439,815.9673645000439,3.0,6.502509800018743,s,12.576630699972156,829.0571735000121,0.10538199997972697,0.11235489998944104,0.15402479999465868,0.16098719998262823,0.2026522999512963,0.20964039996033534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,D,2023-12-12_15h44.26.704,gca_avoidance_task,2022.2.4,143.84577441283983,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.807126300002,829.807126300002,829.807126300002,829.807126300002,829.807126300002,829.807126300002,6.0,2.030313099967316,s,11.496835500001907,841.7927734000259,0.09998440003255382,0.10693449998507276,0.15557689999695867,0.1625472999876365,0.20413480000570416,0.21114730002591386,842.6052473000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,D,2023-12-12_15h44.26.704,gca_avoidance_task,2022.2.4,143.84577441283983,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.6052473000018,842.6052473000018,842.6052473000018,842.6052473000018,842.6052473000018,842.6052473000018,8.0,2.390978300012648,s,10.322814300016034,853.4242861000239,0.09908770001493394,0.10608240001602098,0.15464500000234693,0.16163210000377148,0.20328950003022328,0.21023010002681985,854.1742419000366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,D,2023-12-12_15h44.26.704,gca_avoidance_task,2022.2.4,143.84577441283983,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.1742419000366,854.1742419000366,854.1742419000366,854.1742419000366,854.1742419000366,854.1742419000366,0.0,5.2167291000369005,s,11.266072000027634,865.9446068000398,0.10333600000012666,0.11028419999638572,0.151931100001093,0.15887679997831583,0.2005428000120446,0.2075059000053443,866.7779319999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,D,2023-12-12_15h44.26.704,gca_avoidance_task,2022.2.4,143.84577441283983,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.7779319999972,866.7779319999972,866.7779319999972,866.7779319999972,866.7779319999972,866.7779319999972,2.0,4.074760799994692,s,11.24657620000653,878.5275045000017,0.10352270002476871,0.11045330000342801,0.1520818000426516,0.15909060003468767,0.20071180001832545,0.20765630004461855,879.2774529000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,D,2023-12-12_15h44.26.704,gca_avoidance_task,2022.2.4,143.84577441283983,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.2774529000162,879.2774529000162,879.2774529000162,879.2774529000162,879.2774529000162,879.2774529000162,4.0,1.6496532000019215,s,7.1549283000058495,886.929956500011,0.09968949999893084,0.10670939995907247,0.1552456999779679,0.16219130001263693,0.20384289999492466,0.21081059996504337,887.6799095000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,D,2023-12-12_15h44.26.704,gca_avoidance_task,2022.2.4,143.84577441283983,
