posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,spaceStart.started,spaceStart.keys,spaceStart.rt,textPainThreshold.started,spacePainThreshold.started,spacePainThreshold.keys,spacePainThreshold.rt,textRateT.started,text_noPainT.started,text_slightPainT.started,text_highPainT.started,sliderPainT.started,keys_PainT.started,sliderPainT.response,sliderPainT.rt,keys_PainT.keys,keys_PainT.rt,fixcrossT.started,portShock1T.started,portShock1T.stopped,portShock2T.started,portShock2T.stopped,portShock3T.started,portShock3T.stopped,fixcrossT.stopped,text_ETCalibration.started,spaceETCalibration.started,spaceETCalibration.keys,spaceETCalibration.rt,textStartExp.started,spaceStartExp.started,spaceStartExp.keys,spaceStartExp.rt,imageRating.started,sliderStim.started,spaceStim.started,sliderStim.response,sliderStim.rt,spaceStim.keys,spaceStim.rt,textStartTask.started,spaceStartTask.started,spaceStartTask.keys,spaceStartTask.rt,blankScreen.started,blankScreen.stopped,fixcross.started,image.started,roi.started,gazeCursor.started,portImage.started,portImage.stopped,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,gazeCursor_Feedback.started,soundFeedback.started,portShock1.started,portShock1.stopped,portShock2.started,portShock2.stopped,portShock3.started,portShock3.stopped,soundFeedback.stopped,fixcrossE.started,fixcrossE.stopped,textRepeatTask.started,textboxRepeatInstruction.started,textRepeatSpace.started,spaceRepeatTask.started,spaceRepeatTask.keys,spaceRepeatTask.rt,textRate.started,text_noPain.started,text_slightPain.started,text_highPain.started,sliderPain.started,textSpacePain.started,spacePain.started,sliderPain.response,sliderPain.rt,spacePain.keys,spacePain.rt,textTestInstr.started,spaceTestInstr.started,spaceTestInstr.keys,spaceTestInstr.rt,imageTest.started,roiTest.started,portTestImage.started,portTestImage.stopped,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.549206499999855,16.549206499999855,space,2.8637282999698073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,B,2023-12-12_14h10.56.183,gca_avoidance_task,2022.2.4,144.0812156605481,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.424073600035626,19.424073600035626,space,1.357323299976997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,B,2023-12-12_14h10.56.183,gca_avoidance_task,2022.2.4,144.0812156605481,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.868364299996756,21.868364299996756,21.868364299996756,21.868364299996756,21.868364299996756,21.868364299996756,0.0,10.003653599997051,s,14.60083150002174,37.01358090003487,0.10545959998853505,0.11242399999173358,0.1540476999944076,0.16101500001968816,0.20267229998717085,0.20962410001084208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,B,2023-12-12_14h10.56.183,gca_avoidance_task,2022.2.4,144.0812156605481,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77053270000033,37.77053270000033,37.77053270000033,37.77053270000033,37.77053270000033,37.77053270000033,0.0,3.8064957999740727,s,7.635195099981502,45.95765779999783,0.10271439998177812,0.10966489999555051,0.15139069996075705,0.15834239998366684,0.20000609999988228,0.2069414999568835,46.71461550000822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,B,2023-12-12_14h10.56.183,gca_avoidance_task,2022.2.4,144.0812156605481,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.71461550000822,46.71461550000822,46.71461550000822,46.71461550000822,46.71461550000822,46.71461550000822,1.0,1.197511799982749,s,5.665946199966129,52.87406580004608,0.10198590002255514,0.10891140002058819,0.1505919999908656,0.1575209000147879,0.19917330000316724,0.20620590000180528,53.63097820000257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,B,2023-12-12_14h10.56.183,gca_avoidance_task,2022.2.4,144.0812156605481,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.63097820000257,53.63097820000257,53.63097820000257,53.63097820000257,53.63097820000257,53.63097820000257,1.0,1.2947012000367977,s,6.085857499972917,60.22100550000323,0.10270230000605807,0.10970590001670644,0.15131540002766997,0.1582740999874659,0.19995450001442805,0.20688710000831634,60.977891899994574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,B,2023-12-12_14h10.56.183,gca_avoidance_task,2022.2.4,144.0812156605481,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.977891899994574,60.977891899994574,60.977891899994574,60.977891899994574,60.977891899994574,60.977891899994574,2.0,0.826431000023149,s,4.74659779999638,66.24159510002937,0.10519910004222766,0.11211950000142679,0.15378940000664443,0.16076570004224777,0.20234900002833456,0.2093501000199467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,B,2023-12-12_14h10.56.183,gca_avoidance_task,2022.2.4,144.0812156605481,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0401846000459,67.0401846000459,67.0401846000459,67.0401846000459,67.0401846000459,67.0401846000459,2.0,1.3581503999885172,s,5.940889900026377,73.48436030000448,0.105521299992688,0.11245199997210875,0.15410859999246895,0.16106449998915195,0.20276339998235926,0.20971279998775572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,B,2023-12-12_14h10.56.183,gca_avoidance_task,2022.2.4,144.0812156605481,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.36626770003932,74.36626770003932,74.36626770003932,74.36626770003932,74.36626770003932,74.36626770003932,3.0,0.953811899991706,s,4.766371199977584,79.62994300003629,0.10211700003128499,0.10904860001755878,0.15072350000264123,0.15770209999755025,0.19931340002221987,0.20631199999479577,80.38683279999532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,B,2023-12-12_14h10.56.183,gca_avoidance_task,2022.2.4,144.0812156605481,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.38683279999532,80.38683279999532,80.38683279999532,80.38683279999532,80.38683279999532,80.38683279999532,3.0,1.077305199985858,s,5.209694400022272,86.09497640002519,0.10038319998420775,0.1073768999776803,0.14900209999177605,0.1559850000194274,0.20456410001497716,0.21153859997866675,86.85188880003989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,B,2023-12-12_14h10.56.183,gca_avoidance_task,2022.2.4,144.0812156605481,
