posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.743188000051305,None,None,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.720513799926266,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.2892142999917269,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0540972999297082,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.171743300044909,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.2729024000000209,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.938637099927291,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.4210410000523552,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.8184752999804914,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.5935796999838203,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.8146443000296131,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.9926271999720484,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.9432134999660775,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.1153670999919996,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.46687830006703734,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.1379104000516236,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.1843813000014052,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.6070892999414355,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.7877640000078827,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.9394664999563247,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
,,,,,,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.5759163999464363,,,,,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,cs_plus_ns,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,264.6737061999738,294.34292790002655,4.0,9.056580199976452,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,cs_plus_s,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,305.4119391000131,8.0,4.4590826000785455,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,cs_minus_ns,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,312.0366634000093,4.0,6.555755100096576,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,cs_minus_s,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,319.4669584999792,7.0,3.0082043999573216,,,,,,,,,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(0.7, 0.5)",cs_minus_ns,,,,,0,0,0,0,,,,,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,325.49444529996254,349.4101514000213,5,reward,1,0.20165990001987666,0.2016636999323964,349.625441399985,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(0.7, -0.5)",cs_minus_ns,,,,,0,0,0,0,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,359.8402851000428,10,reward,1,0.20856619998812675,0.20857009990140796,360.0555783000309,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(-0.7, -0.5)",cs_plus_ns,,,,,0,0,0,0,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,369.2635308000026,10,shock,1,0.257271199952811,0.25727489998098463,369.5273869000375,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(-0.7, -0.5)",cs_minus_s,,,,,0,0,0,0,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,378.5687100000214,15,reward,1,0.5697355000302196,0.5766859001014382,379.15202180005144,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(-0.7, 0.5)",cs_plus_ns,,,,,0,0,0,0,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,388.915537300054,15,shock,1,0.3615199000341818,0.36152370006311685,389.28358379995916,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(-0.7, -0.5)",cs_plus_s,,,,,0,0,0,0,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,398.22070770000573,15,shock,1,0.45137000002432615,0.45137369993608445,398.6790081000654,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(-0.7, 0.5)",cs_plus_s,,,,,0,0,0,0,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,408.90777709998656,15,shock,1,0.3681384000228718,0.3681418999331072,409.2758000000613,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(-0.7, -0.5)",cs_minus_ns,,,,,0,0,0,0,,,,,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,,,418.92821469996125,20,reward,1,4.61769570002798,4.617699700058438,423.55301779997535,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(0.7, -0.5)",cs_minus_s,,,,,0,0,0,0,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,433.6428919000318,25,reward,1,0.6111897999653593,0.6111935999942943,434.2609504000284,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(-0.7, 0.5)",cs_minus_ns,,,,,0,0,0,0,,,,,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,442.93420909997076,30,reward,1,0.2154540999326855,0.21545809996314347,443.156410500058,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(0.7, -0.5)",cs_plus_ns,,,,,0,0,0,0,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,452.46159449999686,30,shock,1,0.3547950000502169,0.354798800079152,452.822749700048,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(0.7, 0.5)",cs_plus_ns,,,,,0,0,0,0,,,,,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,462.5445326999761,30,shock,1,0.27789360005408525,0.277897399966605,462.8292545999866,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(0.7, -0.5)",cs_plus_s,,,,,0,0,0,0,,,,,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,473.0371365000028,30,shock,1,0.5555233999621123,0.5555272999918088,473.59962300001644,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(-0.7, 0.5)",cs_minus_s,,,,,0,0,0,0,,,,,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,482.9950698000612,35,reward,1,0.15316580003127456,0.1531695999437943,483.15480999997817,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,,"(0.7, 0.5)",cs_plus_s,,,,,0,0,0,0,,,,,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,493.16830340004526,35,shock,1,1.8887600000016391,1.888763599912636,495.0640342000406,,,,,,,,36,B,2023-12-18_10h28.06.373,gca_avoidance_task,2022.2.4,143.8884117204982,
