posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.07994189998135,None,None,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.783269499894232,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9529680998530239,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.7984990999102592,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.2218055999837816,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.008164499886334,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.3032597000710666,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.7820557998493314,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.5227178998757154,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.1180688999593258,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0714665001723915,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.8447426001075655,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.7286055001895875,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.8037460001651198,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
,,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.814796700142324,,,,,,,,,,,,,,,,,,,,50,C,2024-01-15_08h37.21.838,gca_avoidance_task,2022.2.4,143.92340956409535,
