posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.12561220000498,None,None,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.050252299988642,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.5256407000124454,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.764419400016777,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.498884000000544,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.2048355999868363,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.850082500022836,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.932824599905871,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.59559039992746,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.954007099964656,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.4498396000126377,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.680190399987623,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.5625171000137925,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.852080799988471,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.765911600086838,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.2131820999784395,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.3312713999766856,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.928582299966365,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0311049000592902,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.1957331000594422,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.1301169000798836,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.1168535999022424,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.8325863999780267,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
,,,,,,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.3990498000057414,,,,,,,,,,,,,,,,,,,,32,D,2023-12-15_10h49.46.625,gca_avoidance_task,2022.2.4,143.97314035413268,
