posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.798642300069332,None,None,,,,,,,,,,,,,,,,,,,,49,C,2024-01-12_12h45.41.397,gca_avoidance_task,2022.2.4,144.06585510694552,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.220820699818432,,,,,,,,,,,,,,,,,,,,49,C,2024-01-12_12h45.41.397,gca_avoidance_task,2022.2.4,144.06585510694552,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.3139597000554204,,,,,,,,,,,,,,,,,,,,49,C,2024-01-12_12h45.41.397,gca_avoidance_task,2022.2.4,144.06585510694552,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.161837900057435,,,,,,,,,,,,,,,,,,,,49,C,2024-01-12_12h45.41.397,gca_avoidance_task,2022.2.4,144.06585510694552,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.074321100022644,,,,,,,,,,,,,,,,,,,,49,C,2024-01-12_12h45.41.397,gca_avoidance_task,2022.2.4,144.06585510694552,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.9223023999948055,,,,,,,,,,,,,,,,,,,,49,C,2024-01-12_12h45.41.397,gca_avoidance_task,2022.2.4,144.06585510694552,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.489550500176847,,,,,,,,,,,,,,,,,,,,49,C,2024-01-12_12h45.41.397,gca_avoidance_task,2022.2.4,144.06585510694552,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.5114621999673545,,,,,,,,,,,,,,,,,,,,49,C,2024-01-12_12h45.41.397,gca_avoidance_task,2022.2.4,144.06585510694552,
,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.6183076999150217,,,,,,,,,,,,,,,,,,,,49,C,2024-01-12_12h45.41.397,gca_avoidance_task,2022.2.4,144.06585510694552,
,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.348871599882841,,,,,,,,,,,,,,,,,,,,49,C,2024-01-12_12h45.41.397,gca_avoidance_task,2022.2.4,144.06585510694552,
