posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.487917999969795,None,None,,,,,,,,,,,,,,,,,,,,41,D,2023-12-21_08h38.18.964,gca_avoidance_task,2022.2.4,143.98682217205422,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.084623200120404,,,,,,,,,,,,,,,,,,,,41,D,2023-12-21_08h38.18.964,gca_avoidance_task,2022.2.4,143.98682217205422,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.566037700045854,,,,,,,,,,,,,,,,,,,,41,D,2023-12-21_08h38.18.964,gca_avoidance_task,2022.2.4,143.98682217205422,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.481623400002718,,,,,,,,,,,,,,,,,,,,41,D,2023-12-21_08h38.18.964,gca_avoidance_task,2022.2.4,143.98682217205422,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.532866399968043,,,,,,,,,,,,,,,,,,,,41,D,2023-12-21_08h38.18.964,gca_avoidance_task,2022.2.4,143.98682217205422,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.7595041999593377,,,,,,,,,,,,,,,,,,,,41,D,2023-12-21_08h38.18.964,gca_avoidance_task,2022.2.4,143.98682217205422,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.363357200054452,,,,,,,,,,,,,,,,,,,,41,D,2023-12-21_08h38.18.964,gca_avoidance_task,2022.2.4,143.98682217205422,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.850636500166729,,,,,,,,,,,,,,,,,,,,41,D,2023-12-21_08h38.18.964,gca_avoidance_task,2022.2.4,143.98682217205422,
,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.7678635001648217,,,,,,,,,,,,,,,,,,,,41,D,2023-12-21_08h38.18.964,gca_avoidance_task,2022.2.4,143.98682217205422,
,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.321103000082076,,,,,,,,,,,,,,,,,,,,41,D,2023-12-21_08h38.18.964,gca_avoidance_task,2022.2.4,143.98682217205422,
