posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.424280599923804,None,None,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.572720600059256,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.945799699984491,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,19.215599700110033,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.855302599957213,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.763052700087428,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.298643899848685,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.5115509999450296,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.7027592998929322,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0289020000491291,,,,,,,,,,,,,,,,,,,,40,D,2023-12-20_14h41.13.280,gca_avoidance_task,2022.2.4,144.09408761352927,
