posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.36238899989985,None,None,,,,,,,,,,,,,,,,,,,,45,C,2024-01-03_14h48.27.242,gca_avoidance_task,2022.2.4,143.99967738462246,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.949252400081605,,,,,,,,,,,,,,,,,,,,45,C,2024-01-03_14h48.27.242,gca_avoidance_task,2022.2.4,143.99967738462246,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.224966699955985,,,,,,,,,,,,,,,,,,,,45,C,2024-01-03_14h48.27.242,gca_avoidance_task,2022.2.4,143.99967738462246,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.267931699985638,,,,,,,,,,,,,,,,,,,,45,C,2024-01-03_14h48.27.242,gca_avoidance_task,2022.2.4,143.99967738462246,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.3003851999528706,,,,,,,,,,,,,,,,,,,,45,C,2024-01-03_14h48.27.242,gca_avoidance_task,2022.2.4,143.99967738462246,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.707381899934262,,,,,,,,,,,,,,,,,,,,45,C,2024-01-03_14h48.27.242,gca_avoidance_task,2022.2.4,143.99967738462246,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.2616615999722853,,,,,,,,,,,,,,,,,,,,45,C,2024-01-03_14h48.27.242,gca_avoidance_task,2022.2.4,143.99967738462246,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.587543800007552,,,,,,,,,,,,,,,,,,,,45,C,2024-01-03_14h48.27.242,gca_avoidance_task,2022.2.4,143.99967738462246,
,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.9049570999341086,,,,,,,,,,,,,,,,,,,,45,C,2024-01-03_14h48.27.242,gca_avoidance_task,2022.2.4,143.99967738462246,
,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.338356300024316,,,,,,,,,,,,,,,,,,,,45,C,2024-01-03_14h48.27.242,gca_avoidance_task,2022.2.4,143.99967738462246,
