posFile,stimFile,testFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,test1,test2,position1,trialtype,position2,comptype,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textStart.started,spaceStart.started,spaceStart.keys,spaceStart.rt,textStartExp.started,textExpImages.started,ImageLearning1.started,ImageLearning2.started,textSpace.started,spaceStartExp.started,spaceStartExp.keys,spaceStartExp.rt,blankScreen.started,blankScreen.stopped,fixcross.started,firstImage.started,fixcrossImage1.started,fixcrossITI.started,secondImage.started,fixcrossImage2.started,key.started,key.keys,key.rt,correctness,feedbackText.started,fixcrossEnd.started,fixcrossEnd.stopped,fixcross.stopped,feedbackText.stopped,textStartTask.started,textTaskImages.started,ImageTask1.started,ImageTask2.started,ImageTask3.started,ImageTask4.started,textTaskSpace.started,spaceStartTask.started,spaceStartTask.keys,spaceStartTask.rt,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,10.578887699986808,10.578887699986808,space,5.1171090999851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,A,2023-12-11_09h24.19.990,gca_discrimination,2022.2.4,143.916781596708,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, -0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,0,0,4,,,,,,,,,15.7106678999844,15.7106678999844,15.7106678999844,15.7106678999844,15.7106678999844,15.7106678999844,space,24.5440210000379,40.265243600006215,42.20962739997776,42.20962739997776,43.22346780000953,43.22346780000953,43.3554420999717,43.86930859996937,43.86930859996937,44.00817659997847,l,0.9343224000185728,wrong,44.959511999972165,46.95944030000828,47.45248159999028,,,,,,,,,,,,,16,A,2023-12-11_09h24.19.990,gca_discrimination,2022.2.4,143.916781596708,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,1,1,13,,,,,,,,,,,,,,,,,,,47.45248159999028,48.452471799973864,48.452471799973864,48.605241199955344,49.10518239997327,49.10518239997327,49.25797749997582,ä,1.9404285000055097,correct,51.21622279996518,53.21615369996289,54.16748709999956,48.452471799973864,,,,,,,,,,,,16,A,2023-12-11_09h24.19.990,gca_discrimination,2022.2.4,143.916781596708,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test1,"(0.7, -0.5)",test2,0,0,0,0,0,2,2,11,,,,,,,,,,,,,,,,,,,54.16748709999956,55.16744029999245,55.16744029999245,55.32021659996826,55.820206700009294,55.820206700009294,55.97297919995617,ä,1.0654784999787807,correct,57.049294999975245,59.04924649995519,59.56310719996691,55.16744029999245,59.04924649995519,,,,,,,,,,,16,A,2023-12-11_09h24.19.990,gca_discrimination,2022.2.4,143.916781596708,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(0.7, 0.5)",test1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,59.56310719996691,60.57005579996621,60.57005579996621,60.715822500002105,61.215833899972495,61.215833899972495,61.36860159999924,ä,0.9905678000068292,correct,62.36858569999458,64.36849309998797,64.81992479995824,60.57005579996621,64.36849309998797,,,,,,,,,,,16,A,2023-12-11_09h24.19.990,gca_discrimination,2022.2.4,143.916781596708,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(0.7, -0.5)",test2,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,64.81992479995824,65.81978799996432,65.81978799996432,65.97260229999665,66.47257489996264,66.47257489996264,66.62533020001138,l,0.49468209996121004,correct,67.13224209996406,69.13217979995534,69.2779770999914,65.81978799996432,69.13217979995534,,,,,,,,,,,16,A,2023-12-11_09h24.19.990,gca_discrimination,2022.2.4,143.916781596708,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(0.7, 0.5)",test2,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,69.2779770999914,70.27799179998692,70.27799179998692,70.43080019997433,70.93072869995376,70.93072869995376,71.08352349995403,l,0.6197378999786451,correct,71.71545189997414,73.71533099998487,74.0000563999638,70.27799179998692,73.71533099998487,,,,,,,,,,,16,A,2023-12-11_09h24.19.990,gca_discrimination,2022.2.4,143.916781596708,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,6,6,12,,,,,,,,,,,,,,,,,,,74.0000563999638,75.00695599999744,75.00695599999744,75.15282119996846,75.65277599997353,75.65277599997353,75.80551209999248,ä,0.38523869996424764,correct,76.20135849999497,78.20128410001053,78.29155319998972,75.00695599999744,78.20128410001053,,,,,,,,,,,16,A,2023-12-11_09h24.19.990,gca_discrimination,2022.2.4,143.916781596708,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(-0.7, 0.5)",test2,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,78.29155319998972,79.29154489998473,79.29154489998473,79.44428529997822,79.94428659998812,79.94428659998812,80.09707139997045,l,0.7498861000058241,correct,80.85396439995384,82.8538674999727,83.38162529998226,79.29154489998473,82.8538674999727,,,,,,,,,,,16,A,2023-12-11_09h24.19.990,gca_discrimination,2022.2.4,143.916781596708,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test1,"(0.7, -0.5)",test1,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,,,,,83.38162529998226,84.3815780999721,84.3815780999721,84.53436489996966,85.03436009999132,85.03436009999132,85.18710719997762,l,0.9471672000363469,correct,86.14540819998365,88.14533979998669,88.33981099998346,84.3815780999721,88.14533979998669,,,,,,,,,,,16,A,2023-12-11_09h24.19.990,gca_discrimination,2022.2.4,143.916781596708,
